operation_id,variant_name,asset_path,graph_name,node_candidate,variant_mode,requested_variant_count,available_spawn_count,actual_spawn_count,required_variant_count,setup_status,preview_status,execute_status,readback_status,failure_kind,expected_readback
"function_action.macro_like","GWGen_function_action_macro_like_08","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_function_action_macro_like","EG_GraphWriteGenerality_function_action_macro_like","while_loop","parameterized_10","10","10","10","10","pass","pass","pass","pass","none","EG_GraphWriteGenerality_function_action_macro_like"
"function_action.macro_like","GWGen_function_action_macro_like_09","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_function_action_macro_like","EG_GraphWriteGenerality_function_action_macro_like","multi_gate","parameterized_10","10","10","10","10","pass","pass","pass","pass","none","EG_GraphWriteGenerality_function_action_macro_like"
"generic_ops.control.branch","GWGen_generic_ops_control_branch_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_branch","EG_GraphWriteGenerality_generic_ops_control_branch","generic_ops.control.branch","singleton_1","1","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_branch"
"generic_ops.control.do_n","GWGen_generic_ops_control_do_n_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_do_n","EG_GraphWriteGenerality_generic_ops_control_do_n","generic_ops.control.do_n","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_do_n"
"generic_ops.control.do_once","GWGen_generic_ops_control_do_once_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_do_once","EG_GraphWriteGenerality_generic_ops_control_do_once","generic_ops.control.do_once","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_do_once"
"generic_ops.control.flip_flop","GWGen_generic_ops_control_flip_flop_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_flip_flop","EG_GraphWriteGenerality_generic_ops_control_flip_flop","generic_ops.control.flip_flop","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_flip_flop"
"generic_ops.control.foreach_loop","GWGen_generic_ops_control_foreach_loop_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_foreach_loop","EG_GraphWriteGenerality_generic_ops_control_foreach_loop","generic_ops.control.foreach_loop","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_foreach_loop"
"generic_ops.control.foreach_loop_with_break","GWGen_generic_ops_control_foreach_loop_with_break_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_foreach_loop_with_break","EG_GraphWriteGenerality_generic_ops_control_foreach_loop_with_break","generic_ops.control.foreach_loop_with_break","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_foreach_loop_with_break"
"generic_ops.control.for_loop","GWGen_generic_ops_control_for_loop_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_for_loop","EG_GraphWriteGenerality_generic_ops_control_for_loop","generic_ops.control.for_loop","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_for_loop"
"generic_ops.control.for_loop_with_break","GWGen_generic_ops_control_for_loop_with_break_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_generic_ops_control_for_loop_with_break","EG_GraphWriteGenerality_generic_ops_control_for_loop_with_break","generic_ops.control.for_loop_with_break","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_generic_ops_control_for_loop_with_break"
